id_vehiculo,numero_economico,placas,marca,modelo,anio,tipo,tipo_combustible,capacidad_toneladas,kilometraje_actual,rendimiento_km_l,consumo_promedio,fecha_adquisicion,ultima_revision,proxima_revision,nivel_riesgo,estatus
15,V-015,ABC-115,Chevrolet,2018,2018,Camión,Diesel,4.35,57035.89,4.86,16.78,2018-01-01,2026-07-15,2026-08-23,Bajo,En ruta
16,V-016,ABC-116,Toyota,2020,2020,Camioneta,Gasolina,1.27,75123.77,11.13,17.63,2020-01-01,2026-05-22,2026-07-20,Bajo,Disponible
17,V-017,ABC-117,Kenworth,2025,2025,Torton,Diesel,9.97,140247.06,5.63,29.66,2025-01-01,2026-03-16,2026-07-09,Bajo,En ruta
18,V-018,ABC-118,Chevrolet,2025,2025,Camión,Diesel,4.3,246852.86,10.68,13.37,2025-01-01,2026-06-25,2026-08-29,Bajo,Disponible
19,V-019,ABC-119,Nissan,2019,2019,Torton,Diesel,8.04,205710.74,10.15,27.68,2019-01-01,2026-06-15,2026-08-08,Bajo,Disponible
20,V-020,ABC-120,Mercedes-Benz,2018,2018,Camioneta,Gasolina,1.73,27770.72,7.37,11.13,2018-01-01,2026-06-02,2026-11-23,Bajo,Mantenimiento
21,V-021,ABC-121,Mercedes-Benz,2025,2025,Camioneta,Diesel,1.84,159591.55,7.15,9.72,2025-01-01,2026-06-29,2026-10-12,Bajo,Mantenimiento
22,V-022,ABC-122,Ford,2019,2019,Torton,Diesel,10.18,88044.0,10.34,25.21,2019-01-01,2026-04-21,2026-09-21,Alto,En ruta
23,V-023,ABC-123,Ford,2019,2019,Camioneta,Gasolina,1.86,123331.58,5.46,27.26,2019-01-01,2026-07-15,2026-12-20,Bajo,Disponible
24,V-024,ABC-124,Kenworth,2025,2025,Van,Diesel,2.52,144706.53,10.67,21.33,2025-01-01,2026-03-13,2026-08-16,Alto,Mantenimiento
25,V-025,ABC-125,Kenworth,2019,2019,Torton,Diesel,11.66,112609.84,4.7,10.91,2019-01-01,2026-03-31,2026-10-13,Bajo,En ruta
26,V-026,ABC-126,Isuzu,2020,2020,Camioneta,Gasolina,0.84,162738.5,7.01,21.73,2020-01-01,2026-06-27,2026-11-04,Bajo,Mantenimiento
27,V-027,ABC-127,Kenworth,2018,2018,Tráiler,Diesel,28.61,69830.13,7.78,28.4,2018-01-01,2026-01-23,2026-09-19,Bajo,En ruta
28,V-028,ABC-128,Ford,2024,2024,Camioneta,Diesel,1.07,28475.18,6.82,12.35,2024-01-01,2026-06-18,2026-11-16,Medio,Mantenimiento
29,V-029,ABC-129,Volkswagen,2021,2021,Camioneta,Diesel,1.92,203948.89,9.57,31.53,2021-01-01,2026-06-09,2026-11-05,Medio,Disponible
30,V-030,ABC-130,Toyota,2022,2022,Van,Diesel,2.61,54776.81,11.64,22.56,2022-01-01,2026-03-15,2026-10-21,Medio,Disponible
31,V-031,ABC-131,Toyota,2021,2021,Camioneta,Diesel,1.77,225061.91,7.04,10.97,2021-01-01,2026-03-21,2026-11-19,Bajo,Mantenimiento
32,V-032,ABC-132,Kenworth,2021,2021,Camioneta,Gasolina,1.07,112505.87,11.04,31.24,2021-01-01,2026-01-31,2026-12-13,Bajo,Mantenimiento
33,V-033,ABC-133,Isuzu,2022,2022,Camión,Diesel,4.03,132579.35,7.84,14.0,2022-01-01,2026-05-04,2026-10-29,Bajo,Mantenimiento
34,V-034,ABC-134,Isuzu,2020,2020,Tráiler,Diesel,16.8,91027.64,12.04,16.73,2020-01-01,2026-02-18,2026-12-01,Alto,Disponible
35,V-035,ABC-135,Volkswagen,2022,2022,Camioneta,Gasolina,1.42,178724.55,7.41,34.24,2022-01-01,2026-05-10,2026-09-07,Bajo,En ruta
36,V-036,ABC-136,Toyota,2025,2025,Camión,Diesel,7.85,70427.75,8.48,16.12,2025-01-01,2026-04-25,2026-11-15,Medio,En ruta
37,V-037,ABC-137,Kenworth,2024,2024,Camión,Diesel,5.14,18852.87,9.38,21.57,2024-01-01,2026-03-24,2026-08-18,Bajo,Mantenimiento
38,V-038,ABC-138,Volkswagen,2024,2024,Van,Gasolina,1.1,76875.15,11.77,14.47,2024-01-01,2026-07-10,2026-10-30,Medio,Mantenimiento
39,V-039,ABC-139,Toyota,2025,2025,Van,Gasolina,1.29,127468.66,12.39,14.54,2025-01-01,2026-05-09,2026-11-29,Bajo,Disponible
40,V-040,ABC-140,Kenworth,2019,2019,Torton,Diesel,12.7,192788.71,6.4,27.66,2019-01-01,2026-01-04,2026-08-06,Medio,Disponible
