id_mantenimiento,id_vehiculo,id_componente,fecha_mantenimiento,kilometraje_mantenimiento,tipo_mantenimiento,categoria_componente,componente,severidad,causa_falla,solucion,horas_fuera_servicio,costo_repuesto,costo_mano_obra,costo_total,estado
M00082,8,8,2025-11-17,0.0,Preventivo,Motor,Radiador,Media,Fuga de aceite,Revisión general,9,6972.6,1989,8961.6,Completado
M00083,8,14,2025-12-20,4241.0,Preventivo,Transmisión,Clutch,Alta,Desgaste por kilometraje,Lubricación,28,938.44,2893,3831.44,Completado
M00084,9,7,2022-01-15,125806.0,Correctivo,Suspensión,Amortiguadores,Baja,Golpe por irregularidad del camino,Ajuste y calibración,3,3641.49,1382,5023.49,Completado
M00085,9,10,2022-04-24,131756.0,Correctivo,Combustible,Bomba de combustible,Alta,Fuga,Reemplazo del componente,26,13965.09,3353,17318.09,Completado
M00086,9,15,2022-05-09,236671.0,Correctivo,Transmisión,Caja de cambios,Media,Falta de lubricación,Reparación del componente,9,1964.76,2476,4440.76,Completado
M00087,9,3,2022-05-25,234137.0,Correctivo,Sistema eléctrico,Batería,Baja,Desgaste por uso,Reemplazo del componente,3,25503.5,2572,28075.5,Completado
M00088,9,7,2023-05-10,224823.0,Preventivo,Suspensión,Amortiguadores,Media,Fatiga del componente,Revisión general,12,1141.79,3295,4436.79,Completado
M00089,9,4,2023-08-03,162030.0,Correctivo,Frenos,Pastillas de freno,Baja,Desgaste de discos,Reemplazo del componente,1,33247.15,2862,36109.15,Completado
M00090,9,13,2024-08-15,121312.0,Correctivo,Combustible,Filtro de combustible,Crítica,Contaminación,Ajuste y calibración,27,14558.65,2105,16663.65,Completado
M00091,9,12,2024-12-22,224687.0,Emergencia,Motor,Filtro de aire,Crítica,Desgaste por kilometraje,Cambio de pieza dañada,63,12179.88,3446,15625.88,Pendiente
M00092,9,6,2024-12-30,158154.0,Emergencia,Suspensión,Neumáticos,Baja,Desgaste de bujes,Reemplazo del componente,2,18359.7,574,18933.7,Completado
M00093,9,9,2025-05-29,184292.0,Emergencia,Motor,Bomba de agua,Media,Desgaste por kilometraje,Cambio de pieza dañada,6,2247.64,1346,3593.64,Pendiente
M00094,9,5,2025-08-29,195632.0,Correctivo,Frenos,Discos de freno,Crítica,Desgaste de discos,Corrección de falla,56,9639.7,3383,13022.7,Completado
M00095,9,13,2026-01-20,159256.0,Correctivo,Combustible,Filtro de combustible,Baja,Fuga,Ajuste y calibración,2,12895.37,819,13714.37,Completado
M00096,9,1,2026-04-04,190371.0,Correctivo,Motor,Motor,Alta,Sobrecalentamiento,Cambio de pieza dañada,21,17009.2,1401,18410.2,Completado
M00097,9,2,2026-05-09,120985.0,Preventivo,Sistema eléctrico,Alternador,Media,Falla mecánica,Revisión general,4,12644.36,1691,14335.36,Completado
M00098,9,9,2026-06-30,144663.0,Preventivo,Motor,Bomba de agua,Baja,Sobrecalentamiento,Inspección y ajuste,3,859.76,2443,3302.76,Completado
M00099,10,12,2025-02-11,27490.0,Preventivo,Motor,Filtro de aire,Baja,Desgaste interno,Revisión general,1,3105.1,1872,4977.1,Completado
M00100,10,18,2025-04-04,0.0,Correctivo,Sensores,Sensor de presión,Crítica,Falla eléctrica,Reparación del componente,37,3486.47,2552,6038.47,Completado
M00101,10,4,2025-07-30,0.0,Correctivo,Frenos,Pastillas de freno,Baja,Desgaste por uso,Ajuste y calibración,4,28507.91,2636,31143.91,Completado
M00102,10,2,2025-11-22,0.0,Emergencia,Sistema eléctrico,Alternador,Baja,Falla eléctrica,Reemplazo del componente,1,29414.2,2690,32104.2,Completado
M00103,10,19,2026-04-11,0.0,Preventivo,Sistema eléctrico,Luces,Crítica,Desgaste por uso,Cambio preventivo,29,8387.88,2651,11038.88,Completado
M00104,10,20,2026-07-04,0.0,Preventivo,Escape,Sistema de escape,Baja,Mantenimiento preventivo,Cambio preventivo,4,12181.12,2146,14327.12,Pendiente
M00105,11,3,2023-04-24,82645.0,Preventivo,Sistema eléctrico,Batería,Baja,Desgaste por uso,Ajuste del componente,3,11826.51,3353,15179.51,Completado
M00106,11,13,2023-04-30,114460.0,Correctivo,Combustible,Filtro de combustible,Alta,Contaminación,Ajuste y calibración,13,19551.55,2871,22422.55,Completado
M00107,11,14,2024-01-03,29745.0,Preventivo,Transmisión,Clutch,Media,Sobrecalentamiento,Cambio preventivo,7,772.76,2334,3106.76,Completado
M00108,11,8,2024-09-11,52765.0,Preventivo,Motor,Radiador,Crítica,Falta de lubricación,Lubricación,36,6145.95,862,7007.95,Completado
M00109,11,13,2025-04-27,43391.0,Preventivo,Combustible,Filtro de combustible,Media,Desgaste de bomba,Revisión general,8,11432.79,855,12287.79,Pendiente
M00110,11,5,2025-06-20,63532.0,Preventivo,Frenos,Discos de freno,Baja,Fuga de líquido,Inspección y ajuste,1,4749.22,2428,7177.22,Completado
M00111,11,4,2025-08-26,92598.0,Preventivo,Frenos,Pastillas de freno,Baja,Desgaste por uso,Inspección y ajuste,3,9676.96,2145,11821.96,Completado
M00112,11,3,2026-06-06,65468.0,Emergencia,Sistema eléctrico,Batería,Media,Mantenimiento preventivo,Reemplazo del componente,8,30064.26,3208,33272.26,Completado
M00113,11,15,2026-06-08,30897.0,Correctivo,Transmisión,Caja de cambios,Baja,Fuga de aceite,Reemplazo del componente,4,1245.21,1436,2681.21,Completado
M00114,11,8,2026-08-13,120772.0,Preventivo,Motor,Radiador,Crítica,Falta de lubricación,Cambio preventivo,40,10001.66,974,10975.66,Completado
M00115,12,15,2024-03-07,106182.0,Emergencia,Transmisión,Caja de cambios,Media,Fuga de aceite,Ajuste y calibración,10,2037.19,3108,5145.19,Completado
M00116,12,17,2024-05-10,166288.0,Preventivo,Sensores,Sensor de temperatura,Crítica,Mantenimiento preventivo,Cambio preventivo,52,5886.1,2832,8718.1,Completado
M00117,12,13,2024-12-03,120703.0,Preventivo,Combustible,Filtro de combustible,Crítica,Desgaste de bomba,Lubricación,72,8843.06,693,9536.06,Completado
M00118,12,7,2024-12-27,113837.0,Emergencia,Suspensión,Amortiguadores,Media,Desgaste de bujes,Reparación del componente,6,3532.35,3472,7004.35,Completado
M00119,12,6,2024-12-28,116402.0,Preventivo,Suspensión,Neumáticos,Crítica,Fatiga del componente,Lubricación,55,7669.44,2634,10303.44,Completado
M00120,12,19,2025-02-20,92471.0,Correctivo,Sistema eléctrico,Luces,Baja,Desgaste por uso,Cambio de pieza dañada,3,12786.46,2358,15144.46,Pendiente
M00121,12,12,2025-03-03,96747.0,Emergencia,Motor,Filtro de aire,Baja,Fuga de aceite,Ajuste y calibración,4,9622.57,1787,11409.57,Pendiente
M00122,12,14,2025-04-05,82080.0,Correctivo,Transmisión,Clutch,Media,Fuga de aceite,Reparación del componente,5,1280.68,3282,4562.68,Completado
M00123,12,15,2025-09-22,148926.0,Preventivo,Transmisión,Caja de cambios,Alta,Desgaste de engranajes,Lubricación,29,866.52,1414,2280.52,Completado
M00124,12,13,2025-10-12,65860.0,Correctivo,Combustible,Filtro de combustible,Media,Desgaste de bomba,Corrección de falla,10,15786.2,1909,17695.2,Pendiente
M00125,12,10,2026-01-22,106489.0,Correctivo,Combustible,Bomba de combustible,Alta,Obstrucción,Reemplazo del componente,23,11355.34,3487,14842.34,Completado
M00126,12,14,2026-01-24,140476.0,Emergencia,Transmisión,Clutch,Media,Desgaste por kilometraje,Cambio de pieza dañada,5,2236.77,3073,5309.77,Completado
M00127,12,7,2026-02-27,117312.0,Preventivo,Suspensión,Amortiguadores,Crítica,Golpe por irregularidad del camino,Revisión general,52,1147.72,2551,3698.72,Completado
M00128,12,4,2026-06-18,107737.0,Correctivo,Frenos,Pastillas de freno,Media,Desgaste de discos,Reparación del componente,9,26845.6,2589,29434.6,Completado
M00129,12,5,2026-07-15,90594.0,Correctivo,Frenos,Discos de freno,Baja,Desgaste de discos,Cambio de pieza dañada,2,7679.8,2122,9801.8,Completado
M00130,13,5,2022-02-06,1363.0,Preventivo,Frenos,Discos de freno,Alta,Desgaste por uso,Inspección y ajuste,15,4800.83,1819,6619.83,Completado
M00131,13,15,2023-02-07,1063.0,Preventivo,Transmisión,Caja de cambios,Crítica,Falta de lubricación,Revisión general,45,1102.79,3170,4272.79,Pendiente
M00132,13,15,2023-02-09,0.0,Preventivo,Transmisión,Caja de cambios,Baja,Sobrecalentamiento,Cambio preventivo,1,1031.12,2262,3293.12,Completado
M00133,13,11,2023-06-21,21444.0,Preventivo,Combustible,Inyectores,Baja,Obstrucción,Inspección y ajuste,4,6965.99,2024,8989.99,Completado
M00134,13,18,2024-03-31,0.0,Preventivo,Sensores,Sensor de presión,Alta,Falla eléctrica,Cambio preventivo,14,2011.91,2589,4600.91,Completado
M00135,13,19,2024-07-29,0.0,Correctivo,Sistema eléctrico,Luces,Media,Mantenimiento preventivo,Cambio de pieza dañada,6,16128.93,601,16729.93,Pendiente
M00136,13,18,2024-10-06,18593.0,Preventivo,Sensores,Sensor de presión,Media,Desgaste por uso,Inspección y ajuste,10,2809.48,1540,4349.48,Completado
M00137,13,3,2024-11-05,0.0,Correctivo,Sistema eléctrico,Batería,Crítica,Mantenimiento preventivo,Reemplazo del componente,44,26247.11,838,27085.11,Completado
M00138,13,7,2024-11-09,0.0,Correctivo,Suspensión,Amortiguadores,Crítica,Desgaste por uso,Reemplazo del componente,49,3510.67,1612,5122.67,Completado
M00139,13,14,2024-11-16,42183.0,Preventivo,Transmisión,Clutch,Baja,Desgaste por kilometraje,Revisión general,2,755.31,2317,3072.31,Completado
M00140,13,15,2025-06-26,12579.0,Preventivo,Transmisión,Caja de cambios,Media,Falta de lubricación,Cambio preventivo,7,1001.71,1226,2227.71,Completado
M00141,13,17,2025-10-15,0.0,Preventivo,Sensores,Sensor de temperatura,Baja,Falla eléctrica,Ajuste del componente,4,4793.94,1682,6475.94,Completado
M00142,13,1,2025-12-31,0.0,Preventivo,Motor,Motor,Media,Fuga de aceite,Ajuste del componente,10,9008.05,3483,12491.05,Completado
M00143,14,12,2024-01-12,176216.0,Correctivo,Motor,Filtro de aire,Alta,Falta de lubricación,Corrección de falla,18,10221.15,2131,12352.15,Completado
M00144,14,20,2024-02-14,150787.0,Emergencia,Escape,Sistema de escape,Baja,Desgaste por uso,Corrección de falla,4,32959.04,1247,34206.04,Completado
M00145,14,7,2024-03-23,200185.0,Preventivo,Suspensión,Amortiguadores,Baja,Desgaste por uso,Inspección y ajuste,2,1911.1,839,2750.1,Completado
M00146,14,20,2024-09-25,192346.0,Correctivo,Escape,Sistema de escape,Crítica,Mantenimiento preventivo,Reemplazo del componente,60,19508.44,2533,22041.44,Pendiente
M00147,14,2,2024-11-06,112169.0,Preventivo,Sistema eléctrico,Alternador,Alta,Falla mecánica,Ajuste del componente,15,7066.19,3132,10198.19,Completado
M00148,14,17,2024-12-21,179731.0,Preventivo,Sensores,Sensor de temperatura,Alta,Desgaste por uso,Cambio preventivo,18,5733.27,1438,7171.27,Completado
M00149,14,14,2025-02-13,200497.0,Correctivo,Transmisión,Clutch,Baja,Desgaste por kilometraje,Corrección de falla,4,1054.55,3111,4165.55,Completado
M00150,14,3,2025-04-15,122891.0,Emergencia,Sistema eléctrico,Batería,Alta,Falla eléctrica,Reemplazo del componente,13,27686.45,1889,29575.45,Completado
M00151,14,4,2025-06-29,169205.0,Preventivo,Frenos,Pastillas de freno,Baja,Desgaste de discos,Inspección y ajuste,1,11321.11,2411,13732.11,Completado
M00152,14,4,2025-07-13,194311.0,Preventivo,Frenos,Pastillas de freno,Media,Desgaste de discos,Lubricación,6,10418.84,2096,12514.84,Completado
M00153,14,17,2025-12-07,200181.0,Emergencia,Sensores,Sensor de temperatura,Baja,Mantenimiento preventivo,Cambio de pieza dañada,1,14646.3,659,15305.3,Completado
M00154,14,17,2026-08-07,190058.0,Preventivo,Sensores,Sensor de temperatura,Baja,Mantenimiento preventivo,Cambio preventivo,1,3647.52,1880,5527.52,Completado
M00155,15,8,2018-05-12,47133.0,Emergencia,Motor,Radiador,Alta,Desgaste interno,Reparación del componente,28,18494.77,1295,19789.77,Pendiente
M00156,15,15,2018-09-10,0.0,Correctivo,Transmisión,Caja de cambios,Crítica,Fuga de aceite,Reparación del componente,63,1697.93,3245,4942.93,Pendiente
M00157,15,20,2019-04-30,0.0,Preventivo,Escape,Sistema de escape,Alta,Desgaste por uso,Ajuste del componente,27,11320.05,1785,13105.05,Completado
M00158,15,2,2022-02-12,0.0,Preventivo,Sistema eléctrico,Alternador,Media,Mantenimiento preventivo,Revisión general,12,12860.5,3328,16188.5,Completado
M00159,15,10,2022-04-10,34502.0,Correctivo,Combustible,Bomba de combustible,Media,Falla de inyector,Ajuste y calibración,12,16867.78,2680,19547.78,Completado
M00160,15,11,2022-06-09,0.0,Preventivo,Combustible,Inyectores,Baja,Desgaste de bomba,Lubricación,4,5826.12,2074,7900.12,Completado
M00161,15,6,2022-07-21,23974.0,Correctivo,Suspensión,Neumáticos,Alta,Desgaste de bujes,Ajuste y calibración,25,9710.77,2485,12195.77,Completado
M00162,15,16,2022-10-27,44049.0,Preventivo,Motor,Banda de distribución,Baja,Falta de lubricación,Cambio preventivo,3,12247.51,947,13194.51,Completado
M00163,15,17,2024-01-15,43755.0,Preventivo,Sensores,Sensor de temperatura,Baja,Mantenimiento preventivo,Revisión general,2,5918.18,1935,7853.18,Completado
M00164,15,15,2024-08-22,0.0,Emergencia,Transmisión,Caja de cambios,Media,Sobrecalentamiento,Corrección de falla,4,1774.83,983,2757.83,Completado
M00165,15,11,2024-12-03,36083.0,Preventivo,Combustible,Inyectores,Baja,Obstrucción,Revisión general,4,10238.38,2757,12995.38,Pendiente
M00166,15,8,2025-09-14,35609.0,Correctivo,Motor,Radiador,Media,Sobrecalentamiento,Ajuste y calibración,4,15673.03,2928,18601.03,Completado
M00167,15,15,2026-02-06,31007.0,Preventivo,Transmisión,Caja de cambios,Baja,Falta de lubricación,Cambio preventivo,1,1130.19,1237,2367.19,Completado
M00168,16,19,2020-11-03,30711.0,Preventivo,Sistema eléctrico,Luces,Media,Desgaste por uso,Revisión general,8,4840.51,3295,8135.51,Completado
M00169,16,11,2020-11-10,11708.0,Correctivo,Combustible,Inyectores,Crítica,Desgaste de bomba,Reparación del componente,61,14048.15,1910,15958.15,Completado
M00170,16,14,2021-10-29,0.0,Preventivo,Transmisión,Clutch,Baja,Desgaste por kilometraje,Cambio preventivo,4,921.68,2309,3230.68,Pendiente
M00171,16,7,2022-09-15,69348.0,Correctivo,Suspensión,Amortiguadores,Crítica,Desgaste por uso,Reparación del componente,69,3754.44,1019,4773.44,Pendiente
M00172,16,6,2023-02-08,0.0,Preventivo,Suspensión,Neumáticos,Alta,Desgaste de bujes,Ajuste del componente,14,7415.86,2059,9474.86,Completado
