id_entrega,id_cliente,id_vehiculo,id_operador,id_ruta,fecha_salida,hora_salida,fecha_entrega_programada,hora_entrega_programada,fecha_entrega_real,hora_entrega_real,peso_carga,cantidad_paquetes,distancia_real_km,combustible_consumido_litros,precio_combustible,costo_envio,costo_combustible,costo_total,minutos_retraso,entrega_tardia,estatus,observaciones
16,64,39,35,2,2026-06-11,19:36:00,2026-06-11,05:31:00,2026-06-12,05:31:00,5.31,31,302.34,24.4,24.17,2790.7,589.75,3380.45,0,False,Entregada,Entrega realizada en tiempo
17,1,40,23,16,2026-05-27,16:11:00,2026-05-27,06:39:00,2026-05-28,06:39:00,0.53,11,415.81,64.97,24.44,2720.05,1587.87,4307.92,0,False,Entregada,Entrega realizada en tiempo
18,68,35,33,33,2026-05-22,05:24:00,2026-05-22,14:18:00,2026-05-22,15:01:00,1.07,61,255.44,34.47,24.01,2372.2,827.62,3199.82,43,True,Tardía,Tráfico alto
19,3,23,51,5,2026-03-30,10:46:00,2026-03-30,20:42:00,2026-03-30,20:42:00,0.38,14,262.9,48.15,25.94,1964.5,1249.01,3213.51,0,False,Entregada,Entrega realizada en tiempo
20,43,9,3,23,2026-05-20,13:52:00,2026-05-20,23:13:00,2026-05-20,23:13:00,0.23,23,286.95,23.46,25.74,2141.75,603.86,2745.61,0,False,Entregada,Entrega realizada en tiempo
21,90,31,41,12,2026-07-27,08:04:00,2026-07-27,19:42:00,2026-07-27,20:15:00,18.18,59,415.07,58.96,26.54,4865.35,1564.8,6430.15,33,True,Tardía,"Hora pico, Distancia larga"
22,41,20,33,26,2026-07-28,20:30:00,2026-07-28,02:29:00,2026-07-29,03:15:00,1.43,33,167.65,22.75,24.14,1745.25,549.19,2294.44,46,True,Tardía,Tráfico alto
23,100,4,56,42,2026-03-26,11:07:00,2026-03-26,14:18:00,2026-03-26,14:18:00,1.3,48,91.45,15.37,24.6,1471.25,378.1,1849.35,0,False,Entregada,Entrega realizada en tiempo
24,57,25,22,12,2026-05-08,18:23:00,2026-05-08,06:01:00,2026-05-09,06:38:00,4.92,67,409.06,87.03,24.72,3573.3,2151.38,5724.68,37,True,Tardía,"Hora pico, Distancia larga"
25,24,35,19,21,2026-01-27,07:20:00,2026-01-27,14:23:00,2026-01-27,15:20:00,0.91,38,302.38,40.81,25.76,2406.9,1051.27,3458.17,57,True,Tardía,"Hora pico, Distancia larga"
26,45,29,3,47,2026-08-11,14:39:00,2026-08-11,02:23:00,2026-08-12,03:03:00,1.44,56,327.69,34.24,24.45,2730.45,837.17,3567.62,40,True,Tardía,"Tráfico alto, Distancia larga"
27,96,11,2,10,2026-08-06,17:02:00,2026-08-06,19:27:00,2026-08-06,20:13:00,2.74,17,83.14,17.39,24.45,1325.7,425.19,1750.89,46,True,Tardía,Hora pico
28,73,3,39,10,2026-06-23,17:23:00,2026-06-23,19:48:00,2026-06-23,19:48:00,9.96,48,85.6,18.37,23.31,2308.0,428.2,2736.2,0,False,Entregada,Entrega realizada en tiempo
29,18,34,24,26,2026-03-22,11:15:00,2026-03-22,17:14:00,2026-03-22,17:54:00,1.54,15,154.18,12.81,25.07,1544.9,321.15,1866.05,40,True,Tardía,Tráfico alto
30,72,8,17,50,2026-03-08,17:13:00,2026-03-08,01:13:00,2026-03-09,01:13:00,3.96,79,229.16,24.48,26.67,2673.8,652.88,3326.68,0,False,Entregada,Entrega realizada en tiempo
31,63,13,8,9,2026-08-07,07:28:00,2026-08-07,15:01:00,2026-08-07,15:01:00,12.99,23,212.02,17.29,24.78,3043.1,428.45,3471.55,0,False,Entregada,Entrega realizada en tiempo
32,12,21,43,23,2026-07-01,07:35:00,2026-07-01,16:56:00,2026-07-01,16:56:00,1.09,70,263.03,36.79,24.2,2484.15,890.32,3374.47,0,False,Entregada,Entrega realizada en tiempo
33,21,12,51,24,2026-05-11,10:07:00,2026-05-11,18:44:00,2026-05-11,18:44:00,1.0,26,312.85,44.76,23.95,2372.25,1072.0,3444.25,0,False,Entregada,Entrega realizada en tiempo
34,64,2,24,36,2026-05-27,14:29:00,2026-05-27,18:23:00,2026-05-27,18:47:00,9.08,71,109.46,22.07,24.24,2523.3,534.98,3058.28,24,True,Tardía,Tráfico alto
35,92,31,34,27,2026-07-16,16:52:00,2026-07-16,04:35:00,2026-07-17,05:02:00,10.07,74,341.92,48.57,24.8,3808.6,1204.54,5013.14,27,True,Tardía,Distancia larga
36,88,34,23,9,2026-08-13,20:40:00,2026-08-13,04:13:00,2026-08-14,04:38:00,7.62,76,184.28,15.31,25.01,2791.4,382.9,3174.3,25,True,Tardía,Carga pesada
37,8,8,34,10,2026-03-19,09:10:00,2026-03-19,11:35:00,2026-03-19,11:35:00,0.61,42,76.77,8.2,23.9,1280.85,195.98,1476.83,0,False,Entregada,Entrega realizada en tiempo
38,67,19,55,6,2026-03-06,09:40:00,2026-03-06,10:34:00,2026-03-06,11:18:00,0.34,71,26.29,2.59,25.46,1233.45,65.94,1299.39,44,True,Tardía,Hora pico
39,12,33,42,11,2026-06-01,08:10:00,2026-06-01,10:56:00,2026-06-01,10:56:00,0.72,80,66.33,8.46,25.42,1543.65,215.05,1758.7,0,False,Entregada,Entrega realizada en tiempo
40,73,3,53,2,2026-01-21,06:41:00,2026-01-21,16:36:00,2026-01-21,17:38:00,3.84,74,327.21,70.22,25.47,3112.05,1788.5,4900.55,62,True,Tardía,"Tráfico alto, Distancia larga"
41,4,32,57,41,2026-05-20,12:41:00,2026-05-20,19:57:00,2026-05-20,19:57:00,0.3,39,206.54,18.71,26.22,1874.7,490.58,2365.28,0,False,Entregada,Entrega realizada en tiempo
42,88,26,20,30,2026-01-19,06:10:00,2026-01-19,11:18:00,2026-01-19,11:18:00,4.29,57,121.63,17.35,24.86,1993.15,431.32,2424.47,0,False,Entregada,Entrega realizada en tiempo
43,44,39,10,21,2026-08-09,13:46:00,2026-08-09,20:49:00,2026-08-09,20:49:00,6.02,45,302.04,24.38,23.52,2972.2,573.42,3545.62,0,False,Entregada,Entrega realizada en tiempo
44,48,33,36,7,2026-03-23,10:29:00,2026-03-23,14:40:00,2026-03-23,15:04:00,0.87,16,128.78,16.43,23.39,1358.9,384.3,1743.2,24,True,Tardía,Carga pesada
45,38,25,56,40,2026-04-18,10:55:00,2026-04-18,03:57:00,2026-04-19,03:57:00,8.94,21,437.14,93.01,26.74,3747.7,2487.09,6234.79,0,False,Entregada,Entrega realizada en tiempo
46,93,21,13,49,2026-02-10,18:32:00,2026-02-10,09:03:00,2026-02-11,09:03:00,0.47,60,405.23,56.68,24.23,3053.15,1373.36,4426.51,0,False,Entregada,Entrega realizada en tiempo
47,3,6,26,33,2026-04-28,10:13:00,2026-04-28,19:07:00,2026-04-28,19:57:00,1.21,75,307.77,45.0,25.39,2759.85,1142.55,3902.4,50,True,Tardía,"Tráfico alto, Distancia larga"
48,84,31,19,35,2026-01-03,08:27:00,2026-01-03,12:01:00,2026-01-03,12:01:00,10.74,18,144.16,20.48,25.91,2438.8,530.64,2969.44,0,False,Entregada,Entrega realizada en tiempo
49,98,26,24,3,2026-04-13,06:36:00,2026-04-13,08:53:00,2026-04-13,09:20:00,11.46,72,59.89,8.54,24.15,2521.45,206.24,2727.69,27,True,Tardía,Incidencia operativa
50,50,33,29,49,2026-05-21,11:52:00,2026-05-21,02:23:00,2026-05-22,02:23:00,0.91,80,413.17,52.7,23.48,3296.85,1237.4,4534.25,0,False,Entregada,Entrega realizada en tiempo
51,13,26,24,22,2026-05-23,14:48:00,2026-05-23,22:27:00,2026-05-23,23:10:00,6.42,19,335.89,47.92,25.0,2973.45,1198.0,4171.45,43,True,Tardía,Distancia larga
52,6,3,9,46,2026-03-27,18:33:00,2026-03-27,09:23:00,2026-03-28,10:13:00,8.8,59,385.6,82.75,26.73,3780.0,2211.91,5991.91,50,True,Tardía,"Hora pico, Distancia larga"
53,41,11,26,40,2026-07-09,12:37:00,2026-07-09,05:39:00,2026-07-10,05:39:00,3.87,44,456.53,95.51,25.04,3521.65,2391.57,5913.22,0,False,Entregada,Entrega realizada en tiempo
54,63,37,20,31,2026-07-28,05:23:00,2026-07-28,12:55:00,2026-07-28,12:55:00,0.93,43,191.68,20.43,26.92,1895.4,549.98,2445.38,0,False,Entregada,Entrega realizada en tiempo
55,75,20,51,47,2026-08-12,05:38:00,2026-08-12,17:22:00,2026-08-12,18:37:00,11.42,61,328.62,44.59,25.33,3773.1,1129.46,4902.56,75,True,Tardía,"Tráfico alto, Distancia larga, Carga pesada"
56,22,34,41,47,2026-06-08,15:09:00,2026-06-08,02:53:00,2026-06-09,03:27:00,0.29,32,361.63,30.04,24.76,2593.15,743.79,3336.94,34,True,Tardía,"Tráfico alto, Distancia larga"
57,54,10,27,45,2026-02-22,16:32:00,2026-02-22,19:13:00,2026-02-22,19:13:00,1.88,79,81.35,8.16,26.49,1726.75,216.16,1942.91,0,False,Entregada,Entrega realizada en tiempo
58,95,4,46,9,2026-05-13,09:35:00,2026-05-13,17:08:00,2026-05-13,17:08:00,2.41,42,212.4,35.7,24.91,2139.0,889.29,3028.29,0,False,Entregada,Entrega realizada en tiempo
59,49,21,12,30,2026-05-17,13:34:00,2026-05-17,18:42:00,2026-05-17,18:42:00,1.09,46,134.46,18.81,26.47,1649.3,497.9,2147.2,0,False,Entregada,Entrega realizada en tiempo
60,88,17,40,31,2026-02-19,10:17:00,2026-02-19,17:49:00,2026-02-19,17:49:00,0.6,72,190.66,33.87,26.77,2089.3,906.7,2996.0,0,False,Entregada,Entrega realizada en tiempo
61,39,19,46,14,2026-06-26,18:20:00,2026-06-26,03:05:00,2026-06-27,03:05:00,2.64,62,280.6,27.65,26.73,2663.0,739.08,3402.08,0,False,Entregada,Entrega realizada en tiempo
62,93,18,19,8,2026-05-27,20:24:00,2026-05-27,23:52:00,2026-05-27,23:52:00,0.87,51,105.27,9.86,26.82,1521.35,264.45,1785.8,0,False,Entregada,Entrega realizada en tiempo
63,19,19,3,19,2026-07-02,07:22:00,2026-07-02,20:03:00,2026-07-02,20:03:00,6.07,57,344.06,33.9,25.99,3283.3,881.06,4164.36,0,False,Entregada,Entrega realizada en tiempo
64,28,13,53,35,2026-03-11,20:44:00,2026-03-11,00:18:00,2026-03-12,00:47:00,11.0,35,135.31,11.04,25.96,2556.55,286.6,2843.15,29,True,Tardía,Incidencia operativa
65,31,16,4,43,2026-05-16,10:40:00,2026-05-16,02:07:00,2026-05-17,03:10:00,10.96,30,438.74,39.42,23.4,4029.7,922.43,4952.13,63,True,Tardía,"Tráfico alto, Distancia larga"
66,99,9,1,36,2026-02-10,16:41:00,2026-02-10,20:35:00,2026-02-10,20:35:00,0.76,61,98.1,8.02,23.8,1554.5,190.88,1745.38,0,False,Entregada,Entrega realizada en tiempo
67,37,21,19,42,2026-01-16,07:41:00,2026-01-16,10:52:00,2026-01-16,11:36:00,0.38,74,90.89,12.71,26.53,1584.45,337.2,1921.65,44,True,Tardía,"Tráfico alto, Hora pico"
68,23,3,54,26,2026-07-21,18:11:00,2026-07-21,00:10:00,2026-07-22,00:10:00,8.88,38,171.7,36.85,23.04,2550.5,849.02,3399.52,0,False,Entregada,Entrega realizada en tiempo
69,73,39,7,22,2026-03-14,17:41:00,2026-03-14,01:20:00,2026-03-15,01:20:00,1.05,70,295.18,23.82,26.56,2640.9,632.66,3273.56,0,False,Entregada,Entrega realizada en tiempo
70,18,33,30,18,2026-02-19,08:21:00,2026-02-19,00:29:00,2026-02-20,00:29:00,0.73,21,391.38,49.92,25.59,2697.9,1277.45,3975.35,0,False,Entregada,Entrega realizada en tiempo
71,92,12,1,48,2026-03-28,12:36:00,2026-03-28,17:49:00,2026-03-28,18:52:00,1.22,25,190.51,27.25,25.06,1774.55,682.88,2457.43,63,True,Tardía,"Tráfico alto, Carga pesada"
72,12,26,43,7,2026-02-17,08:30:00,2026-02-17,12:41:00,2026-02-17,12:41:00,1.38,42,113.51,16.19,23.03,1541.55,372.86,1914.41,0,False,Entregada,Entrega realizada en tiempo
73,50,16,29,49,2026-03-10,13:19:00,2026-03-10,03:50:00,2026-03-11,03:50:00,19.53,75,377.51,33.92,23.05,4940.55,781.86,5722.41,0,False,Entregada,Entrega realizada en tiempo
74,84,24,45,16,2026-01-16,08:29:00,2026-01-16,22:57:00,2026-01-16,23:45:00,2.6,40,453.01,42.46,25.55,3345.05,1084.85,4429.9,48,True,Tardía,"Hora pico, Distancia larga"
75,38,24,40,15,2026-02-26,08:30:00,2026-02-26,10:53:00,2026-02-26,10:53:00,6.35,20,68.87,6.45,26.96,1639.35,173.89,1813.24,0,False,Entregada,Entrega realizada en tiempo
76,48,27,45,36,2026-05-01,20:51:00,2026-05-01,00:45:00,2026-05-02,00:45:00,10.32,28,98.59,12.67,25.72,2248.95,325.87,2574.82,0,False,Entregada,Entrega realizada en tiempo
77,77,6,34,29,2026-05-16,14:04:00,2026-05-16,19:18:00,2026-05-16,19:18:00,0.3,73,196.9,28.79,26.32,2098.5,757.75,2856.25,0,False,Entregada,Entrega realizada en tiempo
78,65,13,37,35,2026-02-08,09:20:00,2026-02-08,12:54:00,2026-02-08,12:54:00,12.4,67,145.63,11.88,25.72,3004.15,305.55,3309.7,0,False,Entregada,Entrega realizada en tiempo
79,92,38,32,6,2026-05-11,17:51:00,2026-05-11,18:45:00,2026-05-11,18:45:00,13.6,8,26.38,2.24,25.05,2055.9,56.11,2112.01,0,False,Entregada,Entrega realizada en tiempo
80,59,37,4,36,2026-04-29,12:46:00,2026-04-29,16:40:00,2026-04-29,16:40:00,0.63,3,91.57,9.76,26.27,1044.85,256.4,1301.25,0,False,Entregada,Entrega realizada en tiempo
81,96,14,38,5,2026-01-12,16:22:00,2026-01-12,02:18:00,2026-01-13,02:18:00,3.56,9,263.46,28.39,23.24,2245.3,659.78,2905.08,0,False,Entregada,Entrega realizada en tiempo
82,9,31,3,19,2026-04-15,09:49:00,2026-04-15,22:30:00,2026-04-15,22:30:00,3.24,18,345.94,49.14,26.91,2697.7,1322.36,4020.06,0,False,Entregada,Entrega realizada en tiempo
83,83,27,24,25,2026-04-25,15:24:00,2026-04-25,00:50:00,2026-04-26,00:50:00,8.92,11,358.61,46.09,25.65,3273.05,1182.21,4455.26,0,False,Entregada,Entrega realizada en tiempo
84,70,9,42,23,2026-01-31,09:34:00,2026-01-31,18:55:00,2026-01-31,18:55:00,0.57,51,292.42,23.91,25.91,2427.1,619.51,3046.61,0,False,Entregada,Entrega realizada en tiempo
85,29,1,49,2,2026-03-18,17:43:00,2026-03-18,03:38:00,2026-03-19,03:38:00,0.75,70,294.51,28.43,24.52,2607.55,697.1,3304.65,0,False,Entregada,Entrega realizada en tiempo
86,30,16,30,23,2026-02-09,11:12:00,2026-02-09,20:33:00,2026-02-09,21:10:00,17.21,15,254.61,22.88,26.06,3614.05,596.25,4210.3,37,True,Tardía,Carga pesada
87,3,16,14,5,2026-01-26,06:28:00,2026-01-26,16:24:00,2026-01-26,16:24:00,19.07,77,261.04,23.45,26.49,4328.2,621.19,4949.39,0,False,Entregada,Entrega realizada en tiempo
88,32,3,26,29,2026-03-01,20:13:00,2026-03-01,01:27:00,2026-03-02,01:54:00,11.26,8,170.75,36.64,26.26,2543.75,962.17,3505.92,27,True,Tardía,Carga pesada
89,94,37,21,37,2026-06-03,13:15:00,2026-06-03,06:33:00,2026-06-04,06:33:00,0.99,39,454.08,48.41,26.94,3181.4,1304.17,4485.57,0,False,Entregada,Entrega realizada en tiempo
90,67,15,27,20,2026-03-12,06:35:00,2026-03-12,08:08:00,2026-03-12,08:08:00,1.11,76,54.2,11.15,26.65,1490.0,297.15,1787.15,0,False,Entregada,Entrega realizada en tiempo
91,81,28,36,32,2026-01-13,14:41:00,2026-01-13,02:45:00,2026-01-14,02:45:00,5.14,49,413.81,60.68,24.27,3475.05,1472.7,4947.75,0,False,Entregada,Entrega realizada en tiempo
92,54,27,10,20,2026-04-07,09:48:00,2026-04-07,11:21:00,2026-04-07,11:21:00,7.23,69,60.44,7.77,26.4,2077.2,205.13,2282.33,0,False,Entregada,Entrega realizada en tiempo
93,39,10,52,30,2026-01-15,20:26:00,2026-01-15,01:34:00,2026-01-16,01:34:00,13.0,54,130.03,13.04,23.54,2882.15,306.96,3189.11,0,False,Entregada,Entrega realizada en tiempo
94,32,17,14,22,2026-06-15,07:59:00,2026-06-15,15:38:00,2026-06-15,15:38:00,0.75,58,325.72,57.85,23.37,2667.6,1351.95,4019.55,0,False,Entregada,Entrega realizada en tiempo
95,93,13,4,18,2026-04-07,06:55:00,2026-04-07,23:03:00,2026-04-07,23:54:00,19.88,10,389.16,31.74,23.84,4513.8,756.68,5270.48,51,True,Tardía,"Distancia larga, Carga pesada"
96,43,20,59,1,2026-02-24,09:47:00,2026-02-24,16:06:00,2026-02-24,16:06:00,3.72,16,203.11,27.56,26.02,2015.55,717.11,2732.66,0,False,Entregada,Entrega realizada en tiempo
97,32,39,46,14,2026-04-12,10:35:00,2026-04-12,19:20:00,2026-04-12,19:20:00,7.64,42,269.38,21.74,24.52,2946.9,533.06,3479.96,0,False,Entregada,Entrega realizada en tiempo
98,69,23,20,17,2026-04-03,19:56:00,2026-04-03,02:14:00,2026-04-04,02:14:00,1.17,64,171.09,31.34,26.21,1984.45,821.42,2805.87,0,False,Entregada,Entrega realizada en tiempo
99,93,31,49,21,2026-02-22,14:20:00,2026-02-22,21:23:00,2026-02-22,21:40:00,5.01,53,292.76,41.59,25.97,2888.8,1080.09,3968.89,17,True,Tardía,Incidencia operativa
100,3,17,36,38,2026-05-29,16:18:00,2026-05-29,20:49:00,2026-05-29,20:49:00,0.51,20,191.13,33.95,23.92,1666.65,812.08,2478.73,0,False,Entregada,Entrega realizada en tiempo
101,73,16,32,36,2026-06-17,13:16:00,2026-06-17,17:10:00,2026-06-17,17:10:00,1.72,63,110.09,9.89,25.57,1726.45,252.89,1979.34,0,False,Entregada,Entrega realizada en tiempo
102,63,30,11,47,2026-07-23,14:10:00,2026-07-23,01:54:00,2026-07-24,01:54:00,12.77,18,348.38,29.93,24.95,3662.9,746.75,4409.65,0,False,Entregada,Entrega realizada en tiempo
103,70,4,34,3,2026-08-03,07:52:00,2026-08-03,10:09:00,2026-08-03,10:09:00,1.45,7,59.52,10.0,24.65,998.6,246.5,1245.1,0,False,Entregada,Entrega realizada en tiempo
104,81,15,5,46,2026-02-08,05:13:00,2026-02-08,20:03:00,2026-02-08,20:03:00,0.95,65,431.81,88.85,23.24,3274.05,2064.87,5338.92,0,False,Entregada,Entrega realizada en tiempo
105,82,40,59,31,2026-06-18,18:01:00,2026-06-18,01:33:00,2026-06-19,01:33:00,0.42,1,214.02,33.44,24.65,1620.1,824.3,2444.4,0,False,Entregada,Entrega realizada en tiempo
106,3,34,47,18,2026-05-18,12:01:00,2026-05-18,04:09:00,2026-05-19,04:09:00,6.94,65,462.55,38.42,25.7,4026.75,987.39,5014.14,0,False,Entregada,Entrega realizada en tiempo
107,23,7,59,7,2026-05-15,08:15:00,2026-05-15,12:26:00,2026-05-15,12:26:00,1.37,25,125.92,20.64,24.01,1466.6,495.57,1962.17,0,False,Entregada,Entrega realizada en tiempo
108,46,18,51,26,2026-01-21,14:25:00,2026-01-21,20:24:00,2026-01-21,20:24:00,0.57,59,181.76,17.02,26.96,1937.8,458.86,2396.66,0,False,Entregada,Entrega realizada en tiempo
109,29,20,44,6,2026-06-17,06:05:00,2026-06-17,06:59:00,2026-06-17,06:59:00,11.05,52,26.02,3.53,25.21,2151.1,88.99,2240.09,0,False,Entregada,Entrega realizada en tiempo
110,8,1,45,11,2026-01-22,18:54:00,2026-01-22,21:40:00,2026-01-22,21:40:00,0.24,56,70.53,6.81,24.33,1324.65,165.69,1490.34,0,False,Entregada,Entrega realizada en tiempo
111,13,34,59,3,2026-02-28,09:57:00,2026-02-28,12:14:00,2026-02-28,12:14:00,6.84,73,67.49,5.61,23.19,2105.45,130.1,2235.55,0,False,Entregada,Entrega realizada en tiempo
112,10,18,58,35,2026-05-25,06:11:00,2026-05-25,09:45:00,2026-05-25,10:01:00,0.33,41,150.42,14.08,25.35,1613.1,356.93,1970.03,16,True,Tardía,Incidencia operativa
113,97,26,60,5,2026-03-18,09:36:00,2026-03-18,19:32:00,2026-03-18,19:32:00,5.72,31,313.54,44.73,26.4,2887.7,1180.87,4068.57,0,False,Entregada,Entrega realizada en tiempo
114,87,35,22,25,2026-07-13,08:50:00,2026-07-13,18:16:00,2026-07-13,18:16:00,1.17,11,364.63,49.21,26.9,2528.15,1323.75,3851.9,0,False,Entregada,Entrega realizada en tiempo
115,7,7,28,15,2026-08-03,07:21:00,2026-08-03,09:44:00,2026-08-03,09:44:00,0.96,78,62.01,10.17,26.82,1530.05,272.76,1802.81,0,False,Entregada,Entrega realizada en tiempo
116,51,21,2,41,2026-03-11,17:31:00,2026-03-11,00:47:00,2026-03-12,00:47:00,0.62,30,178.4,24.95,26.76,1694.0,667.66,2361.66,0,False,Entregada,Entrega realizada en tiempo
117,56,12,44,38,2026-06-19,15:05:00,2026-06-19,19:36:00,2026-06-19,19:36:00,1.28,80,199.34,28.52,23.99,2264.7,684.19,2948.89,0,False,Entregada,Entrega realizada en tiempo
118,10,6,18,10,2026-04-08,08:47:00,2026-04-08,11:12:00,2026-04-08,11:12:00,1.45,50,90.95,13.3,23.43,1499.75,311.62,1811.37,0,False,Entregada,Entrega realizada en tiempo
119,1,20,29,24,2026-07-14,11:06:00,2026-07-14,19:43:00,2026-07-14,20:48:00,7.16,17,331.51,44.98,23.41,3009.55,1052.98,4062.53,65,True,Tardía,"Tráfico alto, Distancia larga"
120,12,23,36,6,2026-06-02,13:55:00,2026-06-02,14:49:00,2026-06-02,15:23:00,1.68,50,30.38,5.56,26.12,1219.9,145.23,1365.13,34,True,Tardía,Carga pesada
121,93,36,58,16,2026-05-27,19:10:00,2026-05-27,09:38:00,2026-05-28,10:23:00,0.61,49,423.51,49.94,24.97,3070.55,1247.0,4317.55,45,True,Tardía,"Hora pico, Distancia larga"
122,9,11,28,18,2026-04-18,12:30:00,2026-04-18,04:38:00,2026-04-19,04:38:00,0.73,10,462.9,96.84,26.78,2967.5,2593.38,5560.88,0,False,Entregada,Entrega realizada en tiempo
123,93,32,39,40,2026-02-20,17:06:00,2026-02-20,10:08:00,2026-02-21,11:02:00,2.91,18,432.5,39.18,26.22,3097.5,1027.3,4124.8,54,True,Tardía,"Hora pico, Distancia larga"
124,43,29,22,28,2026-07-28,08:19:00,2026-07-28,15:20:00,2026-07-28,15:20:00,18.54,42,283.83,29.66,25.78,4109.15,764.63,4873.78,0,False,Entregada,Entrega realizada en tiempo
125,62,21,12,26,2026-03-23,12:47:00,2026-03-23,18:46:00,2026-03-23,18:46:00,0.75,63,155.56,21.76,26.13,1856.8,568.59,2425.39,0,False,Entregada,Entrega realizada en tiempo
126,42,25,18,26,2026-04-04,08:59:00,2026-04-04,14:58:00,2026-04-04,16:02:00,7.5,73,168.57,35.87,23.11,2676.85,828.96,3505.81,64,True,Tardía,"Tráfico alto, Hora pico"
127,94,30,46,14,2026-04-23,12:53:00,2026-04-23,21:38:00,2026-04-23,21:38:00,10.05,9,272.72,23.43,26.18,2940.6,613.4,3554.0,0,False,Entregada,Entrega realizada en tiempo
128,53,32,9,41,2026-03-19,10:16:00,2026-03-19,17:32:00,2026-03-19,17:32:00,4.0,20,196.8,17.83,26.16,2044.0,466.43,2510.43,0,False,Entregada,Entrega realizada en tiempo
129,10,29,39,31,2026-05-30,15:34:00,2026-05-30,23:06:00,2026-05-30,23:06:00,15.52,65,212.72,22.23,26.48,3635.6,588.65,4224.25,0,False,Entregada,Entrega realizada en tiempo
130,54,35,3,24,2026-06-29,20:38:00,2026-06-29,05:15:00,2026-06-30,05:53:00,0.66,11,293.37,39.59,23.67,2120.85,937.1,3057.95,38,True,Tardía,Tráfico alto
131,79,3,37,42,2026-06-23,15:48:00,2026-06-23,18:59:00,2026-06-23,18:59:00,0.53,43,102.26,21.94,24.72,1408.3,542.36,1950.66,0,False,Entregada,Entrega realizada en tiempo
132,2,7,17,15,2026-05-11,19:35:00,2026-05-11,21:58:00,2026-05-11,21:58:00,1.2,75,65.48,10.73,23.88,1547.4,256.23,1803.63,0,False,Entregada,Entrega realizada en tiempo
