id_vehiculo,numero_economico,placas,marca,modelo,anio,tipo,capacidad_toneladas,kilometraje_actual,rendimiento_km_l,consumo_promedio,fecha_adquisicion,ultima_revision,proxima_revision,nivel_riesgo,estatus
30,V-030,ABC-130,Mercedes-Benz,2024,2022,Torton,13.63,54776.81,11.64,22.56,2022-01-01,2026-05-04,2026-10-29,Bajo,Mantenimiento
31,V-031,ABC-131,Isuzu,2021,2020,Tráiler,27.11,225061.91,7.04,10.97,2020-01-01,2026-06-03,2026-11-08,Bajo,Disponible
32,V-032,ABC-132,Volkswagen,2022,2024,Camión,4.91,112505.87,11.04,31.24,2024-01-01,2026-01-01,2026-09-11,Bajo,Mantenimiento
33,V-033,ABC-133,Kenworth,2023,2025,Van,1.01,132579.35,7.84,14.0,2025-01-01,2026-03-27,2026-11-19,Alto,Mantenimiento
34,V-034,ABC-134,Nissan,2021,2023,Torton,8.84,91027.64,12.04,16.73,2023-01-01,2026-05-27,2026-10-07,Bajo,Mantenimiento
35,V-035,ABC-135,Kenworth,2024,2023,Camioneta,1.42,178724.55,7.41,34.24,2023-01-01,2026-04-09,2026-12-17,Bajo,Mantenimiento
36,V-036,ABC-136,Volkswagen,2019,2020,Camioneta,1.95,70427.75,8.48,16.12,2020-01-01,2026-04-23,2026-07-26,Alto,Mantenimiento
37,V-037,ABC-137,Isuzu,2020,2020,Camioneta,1.14,18852.87,9.38,21.57,2020-01-01,2026-01-20,2026-10-29,Bajo,En ruta
38,V-038,ABC-138,Chevrolet,2023,2024,Tráiler,15.77,76875.15,11.77,14.47,2024-01-01,2026-06-22,2026-11-14,Medio,En ruta
39,V-039,ABC-139,Chevrolet,2021,2018,Torton,9.01,127468.66,12.39,14.54,2018-01-01,2026-06-11,2026-12-23,Bajo,Disponible
40,V-040,ABC-140,Chevrolet,2019,2024,Camioneta,1.61,192788.71,6.4,27.66,2024-01-01,2026-04-24,2026-08-12,Bajo,Disponible
