real,prediccion,probabilidad_tardia,resultado,nivel_riesgo
1,0,0.47092895085440306,A tiempo,Medio
0,0,0.3745985757762063,A tiempo,Medio
0,0,0.34349998559435885,A tiempo,Medio
1,0,0.4261845057367832,A tiempo,Medio
0,0,0.43179565942843146,A tiempo,Medio
0,1,0.5746381279101758,Tardía,Medio
0,1,0.5131993850770376,Tardía,Medio
0,1,0.5428763811854166,Tardía,Medio
0,0,0.48952736813561104,A tiempo,Medio
0,0,0.35143315400198893,A tiempo,Medio
1,1,0.5656765309003657,Tardía,Medio
0,0,0.3617084046750501,A tiempo,Medio
1,1,0.5412058349245579,Tardía,Medio
0,1,0.5889979228087546,Tardía,Medio
0,0,0.41977611207173987,A tiempo,Medio
0,0,0.49865238151241986,A tiempo,Medio
0,1,0.6104022472505316,Tardía,Alto
0,1,0.5356576837569922,Tardía,Medio
0,0,0.3522586108628178,A tiempo,Medio
0,0,0.43404401508910145,A tiempo,Medio
0,0,0.3996462127758863,A tiempo,Medio
0,0,0.4724868673924401,A tiempo,Medio
0,0,0.41496434488286416,A tiempo,Medio
0,0,0.4005323634368993,A tiempo,Medio
1,0,0.3935138386648972,A tiempo,Medio
1,0,0.47508524258532925,A tiempo,Medio
0,1,0.5188973915536425,Tardía,Medio
0,0,0.41753996991406817,A tiempo,Medio
0,1,0.5025779537993534,Tardía,Medio
0,0,0.38794046005606536,A tiempo,Medio
0,0,0.4870715269864964,A tiempo,Medio
0,0,0.43094534918318467,A tiempo,Medio
1,1,0.5525624320616203,Tardía,Medio
0,0,0.3971188606049724,A tiempo,Medio
0,1,0.5963170499409973,Tardía,Medio
0,0,0.4326536990259703,A tiempo,Medio
0,1,0.5360733559142624,Tardía,Medio
1,1,0.5336680347663608,Tardía,Medio
0,0,0.453000239098915,A tiempo,Medio
1,1,0.5572150729889889,Tardía,Medio
0,1,0.587359494663524,Tardía,Medio
0,1,0.5220766077970589,Tardía,Medio
1,0,0.48928087219804856,A tiempo,Medio
0,1,0.5108195878998301,Tardía,Medio
1,0,0.41390115934656074,A tiempo,Medio
0,0,0.47067444029649186,A tiempo,Medio
0,0,0.4952933739139051,A tiempo,Medio
0,1,0.6577238821832428,Tardía,Alto
1,0,0.4426575790339281,A tiempo,Medio
0,1,0.5794720271523277,Tardía,Medio
1,0,0.43974318325732314,A tiempo,Medio
0,1,0.5589074686747731,Tardía,Medio
1,1,0.5069696144120058,Tardía,Medio
1,0,0.4922626418541311,A tiempo,Medio
0,1,0.5102169288843587,Tardía,Medio
0,0,0.4707354392686312,A tiempo,Medio
0,0,0.4537002225733186,A tiempo,Medio
0,0,0.4344197981933423,A tiempo,Medio
1,1,0.5045553530221848,Tardía,Medio
0,1,0.6006802214041563,Tardía,Alto
0,1,0.5830208103929689,Tardía,Medio
1,1,0.5317495113341486,Tardía,Medio
1,1,0.5179364826375413,Tardía,Medio
0,1,0.500299998775694,Tardía,Medio
0,1,0.5917295376862968,Tardía,Medio
0,0,0.40148913641038303,A tiempo,Medio
0,0,0.39339906600045305,A tiempo,Medio
0,1,0.5683741030811787,Tardía,Medio
0,0,0.37801851025192895,A tiempo,Medio
1,1,0.5854993828569605,Tardía,Medio
0,0,0.46931990829199033,A tiempo,Medio
0,1,0.512040043499641,Tardía,Medio
0,0,0.3417053010721725,A tiempo,Medio
0,0,0.34384977408426276,A tiempo,Medio
0,0,0.45753357661503014,A tiempo,Medio
0,1,0.6042912913957758,Tardía,Alto
0,1,0.5444635832905709,Tardía,Medio
1,0,0.35553364244530833,A tiempo,Medio
0,0,0.3829519403747888,A tiempo,Medio
0,1,0.6088371940605471,Tardía,Alto
0,1,0.5195900290134577,Tardía,Medio
0,1,0.6349688930656622,Tardía,Alto
1,1,0.5569888010221898,Tardía,Medio
1,1,0.5488768673655888,Tardía,Medio
1,1,0.5476770328049396,Tardía,Medio
1,1,0.5472943121502447,Tardía,Medio
1,0,0.40799449095138346,A tiempo,Medio
0,1,0.5753852480608624,Tardía,Medio
0,0,0.45105785813781935,A tiempo,Medio
1,1,0.581839574482655,Tardía,Medio
0,1,0.5393323837121654,Tardía,Medio
0,0,0.38777053473178036,A tiempo,Medio
0,0,0.44830744502742914,A tiempo,Medio
1,0,0.3412227830813519,A tiempo,Medio
0,1,0.5951290871027463,Tardía,Medio
1,0,0.41238356103660667,A tiempo,Medio
1,1,0.5230523166978066,Tardía,Medio
0,1,0.5769924033744365,Tardía,Medio
0,0,0.36182516536029674,A tiempo,Medio
0,0,0.44800548203891283,A tiempo,Medio
0,0,0.3614109470946018,A tiempo,Medio
0,0,0.453005867587396,A tiempo,Medio
0,1,0.6183423502483626,Tardía,Alto
0,0,0.3793944939252378,A tiempo,Medio
0,0,0.4612408466458783,A tiempo,Medio
0,1,0.5560967727395935,Tardía,Medio
1,1,0.5696668710856574,Tardía,Medio
0,0,0.4221356843131504,A tiempo,Medio
0,0,0.47159873258028057,A tiempo,Medio
0,0,0.40668133012473856,A tiempo,Medio
0,0,0.4932708269286743,A tiempo,Medio
1,1,0.5291790670916683,Tardía,Medio
1,1,0.5063551765899187,Tardía,Medio
0,1,0.5051319898193696,Tardía,Medio
0,0,0.399843842319268,A tiempo,Medio
0,1,0.5957468402018334,Tardía,Medio
0,0,0.45646850024217156,A tiempo,Medio
0,0,0.3761652881785374,A tiempo,Medio
0,1,0.5982475823610529,Tardía,Medio
0,1,0.5789222447103669,Tardía,Medio
1,1,0.5183331225400213,Tardía,Medio
0,0,0.4641820595054587,A tiempo,Medio
1,0,0.4793236870519837,A tiempo,Medio
1,0,0.383827241875042,A tiempo,Medio
0,1,0.5812908721807442,Tardía,Medio
0,0,0.372762524719901,A tiempo,Medio
0,0,0.44573123322473496,A tiempo,Medio
0,0,0.4844492802043764,A tiempo,Medio
0,0,0.45152574184801103,A tiempo,Medio
0,1,0.5399981380723504,Tardía,Medio
0,0,0.41266711805707185,A tiempo,Medio
0,1,0.5141208503971001,Tardía,Medio
0,1,0.5978505525317488,Tardía,Medio
1,0,0.35622432805840376,A tiempo,Medio
1,0,0.4009489021177899,A tiempo,Medio
1,1,0.5667022782438671,Tardía,Medio
0,0,0.36652622791135103,A tiempo,Medio
1,0,0.467538356014083,A tiempo,Medio
0,0,0.44413499033064197,A tiempo,Medio
0,0,0.45159825051239805,A tiempo,Medio
0,1,0.5312065564117655,Tardía,Medio
0,1,0.5437517004999041,Tardía,Medio
0,1,0.5177397599282154,Tardía,Medio
1,0,0.4486750988738547,A tiempo,Medio
1,1,0.5154651160436327,Tardía,Medio
0,0,0.38072057844542606,A tiempo,Medio
0,1,0.5210889411420094,Tardía,Medio
0,0,0.4994762618101901,A tiempo,Medio
0,0,0.4716003263358606,A tiempo,Medio
0,1,0.5050616292949162,Tardía,Medio
0,1,0.5819003350089393,Tardía,Medio
0,0,0.4876271217276977,A tiempo,Medio
0,0,0.48226486955833986,A tiempo,Medio
1,1,0.5493214846102141,Tardía,Medio
0,0,0.48680223953990887,A tiempo,Medio
1,0,0.41760924392658205,A tiempo,Medio
0,1,0.5271738818853001,Tardía,Medio
0,0,0.43649198876140183,A tiempo,Medio
0,0,0.42239164357371145,A tiempo,Medio
0,0,0.4127082160588366,A tiempo,Medio
0,1,0.5672929959129009,Tardía,Medio
1,0,0.4077909664676817,A tiempo,Medio
0,1,0.558265412801783,Tardía,Medio
1,1,0.6188295950259699,Tardía,Alto
0,0,0.4566015515421667,A tiempo,Medio
0,1,0.5452344129947069,Tardía,Medio
0,0,0.49192902019773,A tiempo,Medio
0,1,0.585003877170654,Tardía,Medio
0,0,0.461005807836625,A tiempo,Medio
0,1,0.5093641486538592,Tardía,Medio
1,1,0.5627060937558271,Tardía,Medio
1,0,0.466424467644064,A tiempo,Medio
1,1,0.5494083527082155,Tardía,Medio
1,1,0.5092744220553892,Tardía,Medio
0,0,0.4294893852575912,A tiempo,Medio
1,1,0.6032084350647217,Tardía,Alto
0,1,0.5903424275877627,Tardía,Medio
1,1,0.5717745597945796,Tardía,Medio
1,0,0.4261274738672066,A tiempo,Medio
0,0,0.43957308534574857,A tiempo,Medio
0,1,0.5804083879724125,Tardía,Medio
0,1,0.5152773645655578,Tardía,Medio
0,0,0.46673086165215133,A tiempo,Medio
0,0,0.40557892323393496,A tiempo,Medio
0,1,0.52139393811235,Tardía,Medio
0,1,0.5513099585823138,Tardía,Medio
0,1,0.5590233286994247,Tardía,Medio
0,0,0.45882075613493434,A tiempo,Medio
0,1,0.57729942750524,Tardía,Medio
1,1,0.5805857807421139,Tardía,Medio
0,1,0.5398948957457125,Tardía,Medio
0,1,0.5416412378072682,Tardía,Medio
0,1,0.5801811478072123,Tardía,Medio
0,0,0.4330373434965014,A tiempo,Medio
0,0,0.46535855799460496,A tiempo,Medio
0,0,0.43778863939587254,A tiempo,Medio
0,1,0.5307592265737472,Tardía,Medio
0,1,0.5063358509673,Tardía,Medio
0,1,0.5788474750224125,Tardía,Medio
1,1,0.5149371922349572,Tardía,Medio
0,0,0.47647583672835386,A tiempo,Medio
1,0,0.49561570699469276,A tiempo,Medio
0,1,0.5174332397369137,Tardía,Medio
0,0,0.47044389914542184,A tiempo,Medio
0,0,0.4723400490539204,A tiempo,Medio
0,0,0.3647618097973799,A tiempo,Medio
1,1,0.5629451752237391,Tardía,Medio
1,0,0.38038110088188964,A tiempo,Medio
1,0,0.4750707246720123,A tiempo,Medio
0,0,0.48578450636405096,A tiempo,Medio
1,1,0.5766928060188613,Tardía,Medio
0,0,0.4844120494730752,A tiempo,Medio
1,1,0.6236150964570951,Tardía,Alto
0,0,0.45454432309848947,A tiempo,Medio
0,1,0.5798550488314247,Tardía,Medio
0,0,0.4329168218760188,A tiempo,Medio
0,1,0.5429532979410815,Tardía,Medio
0,0,0.4172165408722084,A tiempo,Medio
0,0,0.4844505600258027,A tiempo,Medio
0,1,0.5721381807856086,Tardía,Medio
1,0,0.3426845373213965,A tiempo,Medio
0,0,0.44462898496082415,A tiempo,Medio
0,1,0.5766972392818751,Tardía,Medio
0,1,0.5269720492832427,Tardía,Medio
0,1,0.574286551998502,Tardía,Medio
1,1,0.5011888726730066,Tardía,Medio
1,0,0.4391778092531529,A tiempo,Medio
0,0,0.4252544539124768,A tiempo,Medio
0,0,0.4338378799621891,A tiempo,Medio
1,0,0.4351838918702918,A tiempo,Medio
0,1,0.5325256370908793,Tardía,Medio
0,1,0.5734404534235177,Tardía,Medio
1,0,0.4541347306716381,A tiempo,Medio
0,0,0.4852740519449105,A tiempo,Medio
0,1,0.5928047521981706,Tardía,Medio
0,0,0.4196822911076609,A tiempo,Medio
1,0,0.42106353908203387,A tiempo,Medio
1,1,0.5276984387229691,Tardía,Medio
1,0,0.43442074642438194,A tiempo,Medio
1,1,0.5600426022891433,Tardía,Medio
0,0,0.4497405268555396,A tiempo,Medio
1,1,0.5341615656065234,Tardía,Medio
0,1,0.5521581506992661,Tardía,Medio
0,1,0.5736996370465592,Tardía,Medio
0,1,0.5520656726760224,Tardía,Medio
1,1,0.5493975213063594,Tardía,Medio
0,1,0.5446350377309265,Tardía,Medio
0,0,0.4245751304240097,A tiempo,Medio
0,0,0.40555209289024347,A tiempo,Medio
0,0,0.44994620088080134,A tiempo,Medio
0,1,0.6006989850583344,Tardía,Alto
0,0,0.43822085381819303,A tiempo,Medio
1,1,0.5868089811820165,Tardía,Medio
1,0,0.3921704803654003,A tiempo,Medio
0,1,0.5106976602503073,Tardía,Medio
1,1,0.5434676599824464,Tardía,Medio
0,0,0.49171312059360717,A tiempo,Medio
1,1,0.5946225081118023,Tardía,Medio
0,0,0.4624268053153788,A tiempo,Medio
0,0,0.39969538716499137,A tiempo,Medio
1,1,0.5715069054109467,Tardía,Medio
0,1,0.5726521147196706,Tardía,Medio
1,1,0.5917059776936674,Tardía,Medio
1,0,0.47226839010770466,A tiempo,Medio
0,0,0.34003253444450676,A tiempo,Medio
0,1,0.5546378437253034,Tardía,Medio
0,0,0.4929300237654858,A tiempo,Medio
0,1,0.5356454049032306,Tardía,Medio
0,0,0.3649384265133127,A tiempo,Medio
0,0,0.4357459665755409,A tiempo,Medio
0,0,0.39157970404824344,A tiempo,Medio
0,0,0.4256787272762165,A tiempo,Medio
1,0,0.4124623440413939,A tiempo,Medio
0,1,0.6201251969603971,Tardía,Alto
1,1,0.5406913539448839,Tardía,Medio
0,0,0.44715260436418236,A tiempo,Medio
0,0,0.3466003614994929,A tiempo,Medio
0,0,0.38931919980062357,A tiempo,Medio
0,0,0.4345279156940583,A tiempo,Medio
1,0,0.4448783933118147,A tiempo,Medio
1,1,0.5549891634268719,Tardía,Medio
1,1,0.5164940499374739,Tardía,Medio
0,0,0.4638601809105564,A tiempo,Medio
0,1,0.5948090463214875,Tardía,Medio
0,0,0.4556020456642311,A tiempo,Medio
1,0,0.43513266208963985,A tiempo,Medio
1,1,0.5628035798931271,Tardía,Medio
1,1,0.6098649569989725,Tardía,Alto
0,1,0.5090306478908824,Tardía,Medio
0,0,0.40928611496876516,A tiempo,Medio
0,1,0.6004195997342157,Tardía,Alto
0,1,0.59146625809348,Tardía,Medio
0,1,0.5911235079735699,Tardía,Medio
0,1,0.5939339915372704,Tardía,Medio
1,0,0.3597483087794279,A tiempo,Medio
0,0,0.46068613067698044,A tiempo,Medio
0,1,0.5094481533160582,Tardía,Medio
0,1,0.5111211016621389,Tardía,Medio
0,1,0.5211571522980212,Tardía,Medio
1,1,0.5251937043783953,Tardía,Medio
1,1,0.5557601462011686,Tardía,Medio
1,1,0.5022725605237447,Tardía,Medio
0,1,0.563905803561366,Tardía,Medio
0,0,0.4721918007267563,A tiempo,Medio
0,0,0.34458868837234896,A tiempo,Medio
0,1,0.5795790698904009,Tardía,Medio
0,0,0.44808221046858,A tiempo,Medio
0,0,0.373216738948924,A tiempo,Medio
1,1,0.5130077606232639,Tardía,Medio
1,1,0.5283596552935035,Tardía,Medio
0,0,0.49045050003612,A tiempo,Medio
0,1,0.5263618998009106,Tardía,Medio
0,1,0.5545500053096278,Tardía,Medio
0,0,0.3554397749183105,A tiempo,Medio
1,1,0.5318744592986497,Tardía,Medio
0,0,0.391839202629007,A tiempo,Medio
1,1,0.6304297776365317,Tardía,Alto
0,1,0.5350104158445171,Tardía,Medio
0,0,0.3962693424476793,A tiempo,Medio
0,0,0.4060860275460636,A tiempo,Medio
0,1,0.5077296318348717,Tardía,Medio
0,0,0.32558736067206756,A tiempo,Medio
1,1,0.5763955033576235,Tardía,Medio
1,1,0.627627092496009,Tardía,Alto
0,0,0.3637291403885498,A tiempo,Medio
1,0,0.4485400193038671,A tiempo,Medio
1,0,0.4537137936221739,A tiempo,Medio
0,0,0.41230045511643404,A tiempo,Medio
0,0,0.4110334874795957,A tiempo,Medio
0,1,0.5928846789341662,Tardía,Medio
0,0,0.3783665195934966,A tiempo,Medio
0,1,0.5719157435493074,Tardía,Medio
0,0,0.4065107850271023,A tiempo,Medio
1,1,0.5120558611584798,Tardía,Medio
1,1,0.5672125116930954,Tardía,Medio
0,1,0.5808844582672198,Tardía,Medio
0,0,0.49101254068072697,A tiempo,Medio
1,1,0.5714721910229072,Tardía,Medio
1,1,0.5773301163032117,Tardía,Medio
0,0,0.33777456314757054,A tiempo,Medio
0,1,0.6154217313045275,Tardía,Alto
0,0,0.476725311579208,A tiempo,Medio
1,1,0.5360135206062548,Tardía,Medio
1,0,0.4915812735781211,A tiempo,Medio
1,1,0.6194749842625178,Tardía,Alto
0,1,0.5780571976558274,Tardía,Medio
1,1,0.5215468642755172,Tardía,Medio
0,0,0.45673956585111675,A tiempo,Medio
0,0,0.35432600962593575,A tiempo,Medio
0,0,0.4825855438638244,A tiempo,Medio
1,1,0.5057755994106841,Tardía,Medio
1,0,0.45906362335709594,A tiempo,Medio
1,1,0.5497698001543939,Tardía,Medio
0,1,0.5820107670764212,Tardía,Medio
0,0,0.47103195699737305,A tiempo,Medio
0,0,0.4814519136296696,A tiempo,Medio
1,1,0.5580515697431316,Tardía,Medio
0,1,0.5432031254499194,Tardía,Medio
1,1,0.5294449197369162,Tardía,Medio
0,0,0.4950716953552161,A tiempo,Medio
0,1,0.5869035921476323,Tardía,Medio
1,1,0.5983715344870014,Tardía,Medio
0,0,0.3802877052456323,A tiempo,Medio
0,0,0.3753081636942328,A tiempo,Medio
0,1,0.5121617802303537,Tardía,Medio
1,0,0.43567750222002755,A tiempo,Medio
0,0,0.4933013891315358,A tiempo,Medio
0,0,0.3535498921549342,A tiempo,Medio
0,1,0.5768124586680506,Tardía,Medio
0,0,0.49336089611841627,A tiempo,Medio
0,0,0.47023477354945237,A tiempo,Medio
1,1,0.5836496900279793,Tardía,Medio
0,1,0.5077285922373902,Tardía,Medio
0,1,0.5251265919440123,Tardía,Medio
1,0,0.3704792185998406,A tiempo,Medio
0,1,0.5249970433105587,Tardía,Medio
1,0,0.4427601918070605,A tiempo,Medio
0,0,0.4641707824890069,A tiempo,Medio
0,1,0.5083122845646998,Tardía,Medio
1,0,0.49871027429029813,A tiempo,Medio
0,1,0.5417155831575566,Tardía,Medio
0,0,0.3956991976187616,A tiempo,Medio
0,0,0.40916153289164875,A tiempo,Medio
0,0,0.3841995419145633,A tiempo,Medio
1,1,0.5177132315787321,Tardía,Medio
1,1,0.5688848679041745,Tardía,Medio
0,1,0.5652560547554288,Tardía,Medio
0,0,0.4785500823257781,A tiempo,Medio
0,1,0.556339022216583,Tardía,Medio
0,0,0.40475889971359263,A tiempo,Medio
0,1,0.5266348118105825,Tardía,Medio
0,1,0.5752382017019217,Tardía,Medio
0,0,0.4373901697230895,A tiempo,Medio
0,1,0.5363420336533669,Tardía,Medio
0,1,0.6127816318320783,Tardía,Alto
0,0,0.3758332846511371,A tiempo,Medio
1,0,0.3471371088574702,A tiempo,Medio
0,1,0.5614618793168673,Tardía,Medio
0,0,0.3338927235911422,A tiempo,Medio
0,0,0.46182250756692683,A tiempo,Medio
0,0,0.44907920499554366,A tiempo,Medio
1,1,0.5081402407642349,Tardía,Medio
1,0,0.4573068297249126,A tiempo,Medio
1,1,0.5054916481096742,Tardía,Medio
1,1,0.5547661491067356,Tardía,Medio
0,0,0.41177512136672373,A tiempo,Medio
0,0,0.46357796016962366,A tiempo,Medio
0,1,0.5904004458920031,Tardía,Medio
0,0,0.4211310677743008,A tiempo,Medio
1,1,0.5134694417999577,Tardía,Medio
0,0,0.4409290110973004,A tiempo,Medio
1,1,0.5795340661584144,Tardía,Medio
0,1,0.5979889339598183,Tardía,Medio
1,0,0.48948434070970964,A tiempo,Medio
0,1,0.5053347823220031,Tardía,Medio
0,1,0.5490957186136508,Tardía,Medio
1,1,0.5089060173982364,Tardía,Medio
1,0,0.3810265470817238,A tiempo,Medio
0,0,0.42554074128033703,A tiempo,Medio
1,1,0.534014664044852,Tardía,Medio
1,0,0.43341570944094543,A tiempo,Medio
0,0,0.49701046051082,A tiempo,Medio
1,0,0.3564633584866534,A tiempo,Medio
0,0,0.3420679941748735,A tiempo,Medio
0,0,0.4748695332855239,A tiempo,Medio
0,1,0.6034258473109239,Tardía,Alto
1,1,0.6325368442764376,Tardía,Alto
0,0,0.41980639620107596,A tiempo,Medio
0,1,0.5622048567015164,Tardía,Medio
0,1,0.5555960224110489,Tardía,Medio
1,0,0.48026180316142947,A tiempo,Medio
1,1,0.5499188852647879,Tardía,Medio
0,0,0.477891218402505,A tiempo,Medio
1,0,0.4906413461244011,A tiempo,Medio
0,1,0.5563498151878291,Tardía,Medio
1,1,0.5084738361126807,Tardía,Medio
0,1,0.512494061337657,Tardía,Medio
0,0,0.46001052409333526,A tiempo,Medio
1,1,0.523457698591349,Tardía,Medio
0,1,0.5090001177467842,Tardía,Medio
0,0,0.4165891207979198,A tiempo,Medio
0,0,0.47386219696918874,A tiempo,Medio
0,0,0.4089536068228153,A tiempo,Medio
0,0,0.3365004210438509,A tiempo,Medio
0,0,0.3678894990662936,A tiempo,Medio
0,0,0.39160989262742446,A tiempo,Medio
1,0,0.4127810673906707,A tiempo,Medio
0,1,0.5228135787104042,Tardía,Medio
0,0,0.49548901487746705,A tiempo,Medio
0,1,0.5723098628833174,Tardía,Medio
1,1,0.5970441887813348,Tardía,Medio
0,0,0.4777813824092405,A tiempo,Medio
0,1,0.5430006735707072,Tardía,Medio
0,0,0.41209513093789674,A tiempo,Medio
0,0,0.4009792925058832,A tiempo,Medio
1,1,0.5975364376033226,Tardía,Medio
0,1,0.551647895159217,Tardía,Medio
0,1,0.5019379440366276,Tardía,Medio
0,0,0.4565480853732985,A tiempo,Medio
0,1,0.5023916221380025,Tardía,Medio
1,0,0.43556789460327955,A tiempo,Medio
1,1,0.6186812321097918,Tardía,Alto
0,0,0.4843954629131404,A tiempo,Medio
1,1,0.609356276488472,Tardía,Alto
0,1,0.5702070885875287,Tardía,Medio
0,1,0.5190283976651344,Tardía,Medio
1,0,0.4242418011705509,A tiempo,Medio
0,1,0.5084512413544289,Tardía,Medio
1,0,0.49639993876875455,A tiempo,Medio
0,0,0.4645507614133771,A tiempo,Medio
0,0,0.3808192021183952,A tiempo,Medio
0,0,0.4581934784589133,A tiempo,Medio
0,0,0.4880445327204885,A tiempo,Medio
0,0,0.47578394811973945,A tiempo,Medio
0,1,0.5774629253283294,Tardía,Medio
0,1,0.5268995465997609,Tardía,Medio
0,1,0.5268830605220275,Tardía,Medio
0,0,0.4795633027494293,A tiempo,Medio
0,1,0.5633530506627455,Tardía,Medio
0,0,0.3855517829207003,A tiempo,Medio
0,1,0.6047001842808083,Tardía,Alto
0,0,0.36245156176077536,A tiempo,Medio
0,1,0.5214944070154299,Tardía,Medio
0,0,0.4771479409412441,A tiempo,Medio
0,1,0.5643255709781481,Tardía,Medio
0,1,0.6096132977363138,Tardía,Alto
1,0,0.4993292943255674,A tiempo,Medio
0,0,0.40859917933212847,A tiempo,Medio
0,0,0.464432821997301,A tiempo,Medio
0,0,0.478844338134913,A tiempo,Medio
0,0,0.4338005936956485,A tiempo,Medio
0,1,0.5230538569387055,Tardía,Medio
0,1,0.5490613940755036,Tardía,Medio
0,0,0.432232809642618,A tiempo,Medio
1,1,0.5078150915118413,Tardía,Medio
1,1,0.5894126269855883,Tardía,Medio
0,0,0.4885885183053494,A tiempo,Medio
0,1,0.5253619628226674,Tardía,Medio
0,0,0.4884085048368868,A tiempo,Medio
0,0,0.48751610935658307,A tiempo,Medio
0,1,0.5478770396319391,Tardía,Medio
0,0,0.3394901375985532,A tiempo,Medio
0,1,0.6075755933589739,Tardía,Alto
0,0,0.49211050446370386,A tiempo,Medio
0,1,0.5634242840690892,Tardía,Medio
1,1,0.5629652617646094,Tardía,Medio
0,0,0.44886281666209604,A tiempo,Medio
1,1,0.5009060592281791,Tardía,Medio
0,1,0.5968979826523483,Tardía,Medio
1,1,0.5971687101830255,Tardía,Medio
1,1,0.5350044439586894,Tardía,Medio
0,0,0.47168491028908777,A tiempo,Medio
0,1,0.550970704993939,Tardía,Medio
0,0,0.4785272300529838,A tiempo,Medio
0,0,0.4327939569781681,A tiempo,Medio
0,1,0.5134592827460521,Tardía,Medio
1,0,0.4273783618128524,A tiempo,Medio
0,0,0.49465559018907324,A tiempo,Medio
0,1,0.5753285149363402,Tardía,Medio
0,1,0.5653131885935022,Tardía,Medio
1,1,0.5793718948856521,Tardía,Medio
0,0,0.4340944192948915,A tiempo,Medio
1,0,0.4481621300490137,A tiempo,Medio
0,1,0.5149631734621332,Tardía,Medio
0,0,0.49466279609620006,A tiempo,Medio
0,0,0.4720839316328492,A tiempo,Medio
0,1,0.5831084578182668,Tardía,Medio
0,1,0.5560689478684568,Tardía,Medio
0,1,0.651581246171724,Tardía,Alto
0,0,0.4502815939926786,A tiempo,Medio
0,1,0.5289408764161401,Tardía,Medio
0,1,0.5444394487857112,Tardía,Medio
1,1,0.5805925110962606,Tardía,Medio
0,1,0.5006351958954789,Tardía,Medio
0,1,0.5390989406284071,Tardía,Medio
0,1,0.5490254515889322,Tardía,Medio
0,0,0.47226862402782155,A tiempo,Medio
0,0,0.48798508838342797,A tiempo,Medio
0,0,0.43293734093911224,A tiempo,Medio
0,1,0.5407976391374175,Tardía,Medio
0,0,0.44546046976841547,A tiempo,Medio
0,1,0.5439097223749602,Tardía,Medio
0,0,0.4271775760018504,A tiempo,Medio
0,0,0.4714513317936561,A tiempo,Medio
0,0,0.37949011674436206,A tiempo,Medio
1,0,0.41308679394914455,A tiempo,Medio
0,0,0.45288683837541954,A tiempo,Medio
0,1,0.5412553175277091,Tardía,Medio
1,1,0.5446897881816685,Tardía,Medio
0,0,0.476218094686354,A tiempo,Medio
0,0,0.349534786866766,A tiempo,Medio
1,1,0.5979524340234516,Tardía,Medio
0,0,0.4323155173799643,A tiempo,Medio
1,0,0.40191242263654964,A tiempo,Medio
0,0,0.402283848303874,A tiempo,Medio
0,0,0.4778936125911978,A tiempo,Medio
0,0,0.3691335989684243,A tiempo,Medio
0,1,0.5657665091171089,Tardía,Medio
0,0,0.4803158913754904,A tiempo,Medio
1,0,0.45095010588752643,A tiempo,Medio
0,1,0.5128494531654876,Tardía,Medio
1,1,0.5603611780619552,Tardía,Medio
0,0,0.402447955733655,A tiempo,Medio
1,0,0.364190000652482,A tiempo,Medio
0,0,0.388237656127228,A tiempo,Medio
1,1,0.5378411237240768,Tardía,Medio
0,1,0.5458490459345836,Tardía,Medio
0,1,0.6374803935738071,Tardía,Alto
0,1,0.5905756578162052,Tardía,Medio
0,1,0.6047641814115176,Tardía,Alto
0,1,0.6090466282832304,Tardía,Alto
0,0,0.4613362491270268,A tiempo,Medio
0,0,0.4147723359743618,A tiempo,Medio
